Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_short,SMA_long,EMA_short,EMA_long,RSI,BB_middle,BB_upper,BB_lower,BB_width,BB_position,Price_Change,Momentum,Volatility,Volume_SMA,Volume_Ratio
2023-08-09 00:00:00-04:00,161.0,167.0,155.5,156.0,3578,0.0,0.0,,,156.0,156.0,,,,,,,,,,,
2023-08-10 00:00:00-04:00,159.0,163.0,156.0,159.0,1517,0.0,0.0,,,157.65,157.54999999999998,,,,,,,0.019230769230769162,,,,
2023-08-11 00:00:00-04:00,156.0,168.0,156.0,164.0,2469,0.0,0.0,,,160.20265780730898,159.84487226952982,,,,,,,0.03144654088050314,,,,
2023-08-14 00:00:00-04:00,163.0,168.5,158.0,166.0,2273,0.0,0.0,,,162.11262376237624,161.54083425823163,,,,,,,0.012195121951219523,,,,
2023-08-15 00:00:00-04:00,163.0,163.0,152.0,154.0,2359,0.0,0.0,,,159.78371012333093,159.82511189329594,,,,,,,-0.07228915662650603,,,,
2023-08-16 00:00:00-04:00,153.0,158.0,145.0,147.0,2528,0.0,0.0,,,156.4633390317066,157.31608077836177,,,,,,,-0.045454545454545414,,,,
2023-08-17 00:00:00-04:00,149.0,154.0,143.0,147.0,1609,0.0,0.0,,,154.1830544765367,155.53184740108398,,,,,,,0.0,,,,
2023-08-18 00:00:00-04:00,147.0,152.0,139.0,140.0,1827,0.0,0.0,,,150.95634123111867,153.10832131100346,,,,,,,-0.04761904761904767,,,,
2023-08-21 00:00:00-04:00,140.0,143.5,132.0,136.0,1530,0.0,0.0,,,147.70236476542686,150.66263716534382,,,,,,,-0.02857142857142858,,,,
2023-08-22 00:00:00-04:00,141.0,141.0,135.0,136.0,1043,0.0,0.0,150.5,,145.24421090147797,148.7190215905133,,,,,,,0.0,,,,
2023-08-23 00:00:00-04:00,137.0,140.0,134.5,135.0,1866,0.0,0.0,148.4,,143.15144668683405,147.0163374372268,,,,,,,-0.007352941176470562,-0.13461538461538458,,,
2023-08-24 00:00:00-04:00,134.0,137.0,127.0,127.0,1834,0.0,0.0,145.2,,139.92441719923252,144.6718082627653,,,,,,,-0.059259259259259234,-0.20125786163522008,,,
2023-08-25 00:00:00-04:00,129.0,133.5,125.0,129.0,1514,0.0,0.0,141.7,,137.78029001767734,142.92791167657947,,,,,,,0.015748031496062964,-0.21341463414634143,,,
2023-08-28 00:00:00-04:00,127.0,130.0,122.0,124.0,3333,0.0,0.0,137.5,,135.11417108621592,140.91577609153018,21.42857142857143,,,,,,-0.03875968992248058,-0.2530120481927711,,,
2023-08-29 00:00:00-04:00,130.0,139.89999389648438,128.8000030517578,137.0,3301,0.0,0.0,135.8,,135.4748252452079,140.5162063515633,36.23188405797102,,,,,,0.10483870967741926,-0.11038961038961037,,,
2023-08-30 00:00:00-04:00,139.0,143.0,131.0,131.0,1413,0.0,0.0,134.2,,134.62703157979,139.58028345545122,30.555555555555557,,,,,,-0.04379562043795615,-0.108843537414966,,,
2023-08-31 00:00:00-04:00,134.0,134.0,127.0,127.0,1463,0.0,0.0,132.2,,133.19298222896762,138.38349962083686,23.94366197183099,,,,,,-0.03053435114503822,-0.13605442176870752,,,
2023-09-01 00:00:00-04:00,129.0,131.0,122.0,123.0,1549,0.0,0.0,130.5,,131.28829407719385,136.96351470672522,20.54794520547945,,,,,,-0.03149606299212604,-0.12142857142857144,,,
2023-09-05 00:00:00-04:00,123.0,125.0,118.0,121.0,3047,0.0,0.0,129.0,,129.37544509250415,135.52983251883447,23.80952380952381,,,,,,-0.016260162601625994,-0.11029411764705888,,,
